timestamp,app_name,notification_type,response_time_sec,productivity_score,is_work_hours,category
2025-01-01 15:50:00,Teams,Reminder,101,2,1,Entertainment
2025-01-01 11:06:00,Calendar,Email,125,9,0,Utility
2025-01-01 12:44:00,Teams,Reminder,206,3,1,Utility
2025-01-01 13:01:00,Gmail,Email,161,5,0,Entertainment
2025-01-01 10:01:00,YouTube,Alert,171,3,0,Social
2025-01-01 08:02:00,Slack,Reminder,149,10,0,Work
2025-01-01 15:56:00,LinkedIn,Reminder,245,9,0,Updates
2025-01-01 16:02:00,Teams,Alert,229,10,1,Work
2025-01-01 15:23:00,Teams,Reminder,81,6,0,Updates
2025-01-01 08:37:00,WhatsApp,Message,229,6,0,Social
2025-01-01 14:45:00,Messenger,Reminder,119,10,0,Utility
2025-01-01 10:43:00,Slack,Message,272,3,0,Work
2025-01-01 16:56:00,Slack,Ping,105,1,1,Work
2025-01-01 17:58:00,Slack,Message,238,2,1,Utility
2025-01-01 09:23:00,WhatsApp,Reminder,120,7,0,Work
2025-01-01 17:55:00,Gmail,Alert,175,1,1,Social
2025-01-01 14:59:00,Messenger,Reminder,138,2,1,Updates
2025-01-01 15:22:00,Messenger,Alert,47,8,0,Utility
2025-01-01 17:18:00,Instagram,Alert,213,2,0,Utility
2025-01-01 14:16:00,Messenger,Email,273,7,0,Entertainment
2025-01-01 15:05:00,Messenger,Message,263,9,0,Utility
2025-01-01 17:51:00,Twitter,Message,159,2,1,Social
2025-01-01 11:48:00,YouTube,Email,112,3,0,Entertainment
2025-01-01 16:39:00,Teams,Email,208,10,0,Work
2025-01-01 11:52:00,YouTube,Alert,271,7,1,Work
2025-01-01 10:50:00,WhatsApp,Message,64,9,0,Updates
2025-01-01 08:56:00,Slack,Message,187,3,1,Work
2025-01-01 17:27:00,Calendar,Message,115,4,0,Social
2025-01-01 12:48:00,WhatsApp,Message,172,8,0,Entertainment
2025-01-01 11:05:00,Gmail,Email,126,8,0,Social
2025-01-01 08:24:00,Teams,Alert,0,8,0,Social
2025-01-01 13:24:00,Gmail,Email,227,10,1,Work
2025-01-01 11:53:00,Calendar,Ping,115,4,1,Entertainment
2025-01-01 11:40:00,Instagram,Reminder,26,6,1,Utility
2025-01-01 09:22:00,Instagram,Reminder,185,2,0,Work
2025-01-01 08:19:00,Teams,Ping,81,1,0,Work
2025-01-01 09:04:00,Instagram,Alert,123,7,0,Updates
2025-01-01 12:47:00,Twitter,Ping,268,8,0,Social
2025-01-01 08:37:00,Slack,Email,69,7,1,Updates
2025-01-01 17:47:00,Slack,Email,264,7,0,Social
2025-01-01 12:55:00,Gmail,Alert,271,10,0,Updates
2025-01-01 15:19:00,Slack,Alert,249,9,0,Entertainment
2025-01-01 13:31:00,YouTube,Alert,237,8,0,Updates
2025-01-01 09:56:00,Gmail,Email,179,1,0,Utility
2025-01-01 09:24:00,WhatsApp,Ping,12,1,0,Utility
2025-01-01 11:53:00,Slack,Reminder,1,5,1,Updates
